Entry,Entry name,Status,Protein names,Gene names,Organism,Length,Features,Annotation
Q96DC7,TMCO6_HUMAN,reviewed,Transmembrane and coiled-coil domain-containing protein 6,TMCO6 PRO1580,Homo sapiens (Human),493,Alternative sequence (1); Chain (1); Coiled coil (1); Compositional bias (1); Erroneous gene model prediction (1); Erroneous initiation (2); Natural variant (1); Sequence caution (1); Sequence conflict (1); Transmembrane (2),3 out of 5
O96008,TOM40_HUMAN,reviewed,Mitochondrial import receptor subunit TOM40 homolog (Protein Haymaker) (Translocase of outer membrane 40 kDa subunit homolog) (p38.5),TOMM40 C19orf1 PEREC1 TOM40,Homo sapiens (Human),361,Alternative sequence (2); Chain (1); Compositional bias (1); Sequence conflict (6),5 out of 5
O00220,TR10A_HUMAN,reviewed,Tumor necrosis factor receptor superfamily member 10A (Death receptor 4) (TNF-related apoptosis-inducing ligand receptor 1) (TRAIL receptor 1) (TRAIL-R1) (CD antigen CD261),TNFRSF10A APO2 DR4 TRAILR1,Homo sapiens (Human),468,Beta strand (7); Chain (1); Compositional bias (1); Disulfide bond (7); Domain (1); Glycosylation (1); Modified residue (4); Mutagenesis (6); Natural variant (8); Repeat (3); Sequence conflict (1); Signal peptide (1); Topological domain (2); Transmembrane (1); Turn (1),5 out of 5
Q2T9K0,TMM44_HUMAN,reviewed,Transmembrane protein 44,TMEM44,Homo sapiens (Human),475,Alternative sequence (5); Chain (1); Erroneous initiation (1); Modified residue (1); Natural variant (3); Sequence caution (1); Topological domain (8); Transmembrane (7),3 out of 5
Q8NG11,TSN14_HUMAN,reviewed,Tetraspanin-14 (Tspan-14) (DC-TM4F2) (Transmembrane 4 superfamily member 14),TSPAN14 TM4SF14,Homo sapiens (Human),270,Alternative sequence (2); Chain (1); Glycosylation (1); Region (1); Sequence conflict (2); Topological domain (5); Transmembrane (4),5 out of 5
Q6UWH6,TX261_HUMAN,reviewed,Protein TEX261,TEX261 UNQ1882/PRO4325,Homo sapiens (Human),196,Chain (1); Transmembrane (5),2 out of 5
Q9NQA5,TRPV5_HUMAN,reviewed,Transient receptor potential cation channel subfamily V member 5 (TrpV5) (Calcium transport protein 2) (CaT2) (Epithelial calcium channel 1) (ECaC) (ECaC1) (Osm-9-like TRP channel 3) (OTRPC3),TRPV5 ECAC1,Homo sapiens (Human),729,Alternative sequence (2); Beta strand (1); Chain (1); Glycosylation (1); Helix (1); Intramembrane (1); Metal binding (1); Modified residue (2); Mutagenesis (1); Natural variant (4); Region (3); Repeat (6); Topological domain (6); Transmembrane (6),5 out of 5
P47901,V1BR_HUMAN,reviewed,Vasopressin V1b receptor (V1bR) (AVPR V1b) (AVPR V3) (Antidiuretic hormone receptor 1b) (Vasopressin V3 receptor),AVPR1B AVPR3 VPR3,Homo sapiens (Human),424,Chain (1); Disulfide bond (1); Glycosylation (1); Natural variant (5); Topological domain (8); Transmembrane (7),5 out of 5
Q7Z5H5,VN1R4_HUMAN,reviewed,Vomeronasal type-1 receptor 4 (G-protein coupled receptor GPCR27) (hGPCR27) (V1r-like receptor 4),VN1R4 V1RL4,Homo sapiens (Human),301,Chain (1); Glycosylation (2); Natural variant (3); Topological domain (8); Transmembrane (7),4 out of 5
Q05996,ZP2_HUMAN,reviewed,Zona pellucida sperm-binding protein 2 (Zona pellucida glycoprotein 2) (Zp-2) (Zona pellucida protein A) [Cleaved into: Processed zona pellucida sperm-binding protein 2],ZP2 ZPA,Homo sapiens (Human),745,Alternative sequence (1); Chain (2); Disulfide bond (7); Domain (1); Glycosylation (3); Natural variant (1); Propeptide (1); Region (1); Signal peptide (1); Site (2); Topological domain (2); Transmembrane (1),5 out of 5
Q8TCW7,ZPLD1_HUMAN,reviewed,"Zona pellucida-like domain-containing protein 1 (ZP domain-containing protein 1) (Cupulin) [Cleaved into: Zona pellucida-like domain-containing protein 1, secreted form]",ZPLD1,Homo sapiens (Human),415,Alternative sequence (1); Chain (2); Disulfide bond (4); Domain (1); Erroneous gene model prediction (1); Glycosylation (2); Natural variant (3); Sequence conflict (1); Signal peptide (1); Site (1); Topological domain (2); Transmembrane (1),4 out of 5
Q6PML9,ZNT9_HUMAN,reviewed,Zinc transporter 9 (ZnT-9) (Human embryonic lung protein) (HuEL) (Solute carrier family 30 member 9),SLC30A9 C4orf1 HUEL,Homo sapiens (Human),568,Beta strand (3); Chain (1); Erroneous gene model prediction (1); Helix (4); Motif (1); Natural variant (4); Sequence caution (1); Sequence conflict (3); Transmembrane (5),5 out of 5
Q16821,PPR3A_HUMAN,reviewed,Protein phosphatase 1 regulatory subunit 3A (Protein phosphatase 1 glycogen-associated regulatory subunit) (Protein phosphatase type-1 glycogen targeting subunit) (RG1),PPP1R3A PP1G,Homo sapiens (Human),1122,Alternative sequence (2); Beta strand (1); Chain (1); Domain (1); Erroneous gene model prediction (1); Modified residue (7); Motif (1); Natural variant (11); Transmembrane (1); Turn (1),5 out of 5
Q86WV6,STING_HUMAN,reviewed,Stimulator of interferon genes protein (hSTING) (Endoplasmic reticulum interferon stimulator) (ERIS) (Mediator of IRF3 activation) (hMITA) (Transmembrane protein 173),STING1 ERIS MITA TMEM173,Homo sapiens (Human),379,Beta strand (9); Binding site (3); Chain (1); Cross-link (1); Helix (9); Modified residue (2); Motif (1); Mutagenesis (46); Natural variant (7); Region (5); Sequence conflict (2); Topological domain (5); Transmembrane (4); Turn (1),5 out of 5
Q8WVE6,TM171_HUMAN,reviewed,Transmembrane protein 171,TMEM171,Homo sapiens (Human),324,Alternative sequence (1); Chain (1); Erroneous gene model prediction (1); Natural variant (3); Sequence conflict (1); Transmembrane (4),2 out of 5
Q9H0R3,TM222_HUMAN,reviewed,Transmembrane protein 222,TMEM222 C1orf160,Homo sapiens (Human),208,Alternative sequence (1); Chain (1); Erroneous initiation (1); Sequence conflict (1); Topological domain (4); Transmembrane (3),5 out of 5
Q9UIK5,TEFF2_HUMAN,reviewed,Tomoregulin-2 (TR-2) (Hyperplastic polyposis protein 1) (Transmembrane protein with EGF-like and two follistatin-like domains),TMEFF2 HPP1 TENB2 TPEF UNQ178/PRO204,Homo sapiens (Human),374,Alternative sequence (4); Chain (1); Disulfide bond (9); Domain (3); Glycosylation (3); Region (1); Sequence caution (1); Sequence conflict (4); Signal peptide (1); Topological domain (2); Transmembrane (1),5 out of 5
Q96H15,TIMD4_HUMAN,reviewed,T-cell immunoglobulin and mucin domain-containing protein 4 (TIMD-4) (T-cell immunoglobulin mucin receptor 4) (TIM-4) (T-cell membrane protein 4),TIMD4 TIM4,Homo sapiens (Human),378,Alternative sequence (1); Beta strand (10); Chain (1); Compositional bias (2); Disulfide bond (3); Domain (1); Glycosylation (1); Helix (2); Modified residue (1); Natural variant (2); Sequence conflict (1); Signal peptide (1); Topological domain (2); Transmembrane (1); Turn (1),4 out of 5
Q96HH4,TM169_HUMAN,reviewed,Transmembrane protein 169,TMEM169,Homo sapiens (Human),297,Chain (1); Topological domain (3); Transmembrane (2),2 out of 5
Q6P9G4,TM154_HUMAN,reviewed,Transmembrane protein 154,TMEM154,Homo sapiens (Human),183,Chain (1); Modified residue (1); Natural variant (1); Signal peptide (1); Topological domain (2); Transmembrane (1),4 out of 5
Q969Z4,TR19L_HUMAN,reviewed,Tumor necrosis factor receptor superfamily member 19L (Receptor expressed in lymphoid tissues),RELT TNFRSF19L,Homo sapiens (Human),430,Chain (1); Disulfide bond (2); Frameshift (1); Glycosylation (1); Modified residue (1); Motif (1); Mutagenesis (1); Natural variant (2); Repeat (1); Sequence conflict (3); Signal peptide (1); Topological domain (2); Transmembrane (1),5 out of 5
Q9H0V1,TM168_HUMAN,reviewed,Transmembrane protein 168,TMEM168,Homo sapiens (Human),697,Alternative sequence (1); Chain (1); Erroneous initiation (2); Glycosylation (3); Sequence conflict (4); Transmembrane (11),2 out of 5
P19075,TSN8_HUMAN,reviewed,Tetraspanin-8 (Tspan-8) (Transmembrane 4 superfamily member 3) (Tumor-associated antigen CO-029),TSPAN8 TM4SF3,Homo sapiens (Human),237,Chain (1); Glycosylation (1); Natural variant (3); Topological domain (5); Transmembrane (4),5 out of 5
O95858,TSN15_HUMAN,reviewed,Tetraspanin-15 (Tspan-15) (Tetraspan NET-7) (Transmembrane 4 superfamily member 15),TSPAN15 NET7 TM4SF15 UNQ677/PRO1311,Homo sapiens (Human),294,Chain (1); Glycosylation (3); Sequence conflict (1); Topological domain (5); Transmembrane (4),5 out of 5
A6NH52,TV23A_HUMAN,reviewed,Golgi apparatus membrane protein TVP23 homolog A,TVP23A FAM18A,Homo sapiens (Human),213,Alternative sequence (1); Chain (1); Transmembrane (4),3 out of 5
O75631,UPK3A_HUMAN,reviewed,Uroplakin-3a (UP3a) (Uroplakin III) (UPIII),UPK3A UPK3,Homo sapiens (Human),287,Alternative sequence (1); Chain (1); Glycosylation (3); Natural variant (4); Sequence conflict (2); Signal peptide (1); Topological domain (2); Transmembrane (1),5 out of 5
P30530,UFO_HUMAN,reviewed,Tyrosine-protein kinase receptor UFO (EC 2.7.10.1) (AXL oncogene),AXL UFO,Homo sapiens (Human),894,Active site (1); Alternative sequence (1); Beta strand (31); Binding site (1); Chain (1); Disulfide bond (2); Domain (5); Glycosylation (6); Helix (14); Modified residue (5); Mutagenesis (3); Natural variant (5); Nucleotide binding (1); Region (1); Sequence conflict (9); Signal peptide (1); Topological domain (2); Transmembrane (1),5 out of 5
O94966,UBP19_HUMAN,reviewed,Ubiquitin carboxyl-terminal hydrolase 19 (EC 3.4.19.12) (Deubiquitinating enzyme 19) (Ubiquitin thioesterase 19) (Ubiquitin-specific-processing protease 19) (Zinc finger MYND domain-containing protein 9),USP19 KIAA0891 ZMYND9,Homo sapiens (Human),1318,Active site (2); Alternative sequence (8); Beta strand (21); Chain (1); Domain (3); Erroneous initiation (3); Frameshift (1); Helix (3); Modified residue (1); Natural variant (1); Sequence conflict (3); Topological domain (2); Transmembrane (1); Turn (4); Zinc finger (1),5 out of 5
Q7Z5H4,VN1R5_HUMAN,reviewed,Vomeronasal type-1 receptor 5 (G-protein coupled receptor GPCR26) (hGPCR26) (V1r-like receptor 5),VN1R5 V1RL5,Homo sapiens (Human),357,Chain (1); Glycosylation (1); Natural variant (1); Sequence conflict (1); Topological domain (8); Transmembrane (7),4 out of 5
Q9H6R6,ZDHC6_HUMAN,reviewed,Palmitoyltransferase ZDHHC6 (EC 2.3.1.225) (Stearoyltransferase ZDHHC6) (EC 2.3.1.-) (Transmembrane protein H4) (Zinc finger DHHC domain-containing protein 6) (DHHC-6) (Zinc finger protein 376),ZDHHC6 ZNF376,Homo sapiens (Human),413,Active site (1); Alternative sequence (1); Chain (1); Domain (2); Erroneous initiation (1); Lipidation (3); Motif (1); Mutagenesis (7); Natural variant (1); Sequence conflict (6); Topological domain (5); Transmembrane (4),5 out of 5
Q401N2,ZACN_HUMAN,reviewed,Zinc-activated ligand-gated ion channel (Ligand-gated ion channel zinc-activated 1) (Ligand-gated ion-channel receptor L2),ZACN L2 LGICZ LGICZ1 ZAC,Homo sapiens (Human),412,Alternative sequence (4); Chain (1); Compositional bias (1); Disulfide bond (1); Erroneous initiation (3); Glycosylation (4); Natural variant (1); Signal peptide (1); Topological domain (5); Transmembrane (4),5 out of 5
Q8WWF5,ZNRF4_HUMAN,reviewed,E3 ubiquitin-protein ligase ZNRF4 (EC 2.3.2.27) (Nixin) (RING finger protein 204) (RING-type E3 ubiquitin transferase ZNRF4) (Zinc/RING finger protein 4),ZNRF4 RNF204,Homo sapiens (Human),429,Chain (1); Domain (1); Erroneous initiation (1); Glycosylation (3); Mutagenesis (4); Natural variant (8); Sequence conflict (1); Signal peptide (1); Topological domain (2); Transmembrane (1); Zinc finger (1),5 out of 5
Q9Y6M5,ZNT1_HUMAN,reviewed,Zinc transporter 1 (ZnT-1) (Solute carrier family 30 member 1),SLC30A1 ZNT1,Homo sapiens (Human),507,Chain (1); Glycosylation (1); Modified residue (1); Region (1); Sequence conflict (1); Topological domain (7); Transmembrane (6),5 out of 5
Q86YA3,ZGRF1_HUMAN,reviewed,Protein ZGRF1 (GRF-type zinc finger domain-containing protein 1),ZGRF1 C4orf21,Homo sapiens (Human),2104,Alternative sequence (13); Chain (1); Erroneous initiation (1); Modified residue (3); Natural variant (6); Sequence conflict (4); Transmembrane (1); Zinc finger (1),5 out of 5
Q96DU3,SLAF6_HUMAN,reviewed,SLAM family member 6 (Activating NK receptor) (NK-T-B-antigen) (NTB-A) (CD antigen CD352),SLAMF6 KALI UNQ6123/PRO20080,Homo sapiens (Human),332,Alternative sequence (2); Beta strand (16); Chain (1); Disulfide bond (2); Domain (2); Glycosylation (7); Helix (3); Modified residue (3); Motif (2); Mutagenesis (7); Signal peptide (1); Topological domain (2); Transmembrane (1); Turn (1),5 out of 5
Q9BQG1,SYT3_HUMAN,reviewed,Synaptotagmin-3 (Synaptotagmin III) (SytIII),SYT3,Homo sapiens (Human),590,Chain (1); Domain (2); Metal binding (16); Modified residue (1); Natural variant (1); Region (1); Sequence conflict (2); Topological domain (2); Transmembrane (1),5 out of 5
P59535,T2R40_HUMAN,reviewed,Taste receptor type 2 member 40 (T2R40) (G-protein coupled receptor 60) (Taste receptor type 2 member 58) (T2R58),TAS2R40 GPR60,Homo sapiens (Human),323,Chain (1); Glycosylation (2); Natural variant (2); Topological domain (8); Transmembrane (7),4 out of 5
Q8NBD8,T229B_HUMAN,reviewed,Transmembrane protein 229B,TMEM229B C14orf83,Homo sapiens (Human),167,Chain (1); Topological domain (5); Transmembrane (4),5 out of 5
H3BS89,T178B_HUMAN,reviewed,Transmembrane protein 178B,TMEM178B,Homo sapiens (Human),294,Chain (1); Glycosylation (2); Signal peptide (1); Transmembrane (3),2 out of 5
Q6ZVK1,T179A_HUMAN,reviewed,Transmembrane protein 179 (Transmembrane protein 179A),TMEM179 C14orf90 TMEM179A,Homo sapiens (Human),233,Alternative sequence (2); Chain (1); Glycosylation (1); Transmembrane (4),2 out of 5
O75069,TMCC2_HUMAN,reviewed,Transmembrane and coiled-coil domains protein 2 (Cerebral protein 11),TMCC2 KIAA0481 hucep-11,Homo sapiens (Human),709,Alternative sequence (3); Chain (1); Coiled coil (2); Erroneous initiation (1); Modified residue (6); Sequence caution (1); Sequence conflict (3); Transmembrane (2),5 out of 5
Q9NV12,TM140_HUMAN,reviewed,Transmembrane protein 140,TMEM140,Homo sapiens (Human),185,Chain (1); Glycosylation (1); Natural variant (5); Topological domain (5); Transmembrane (4),5 out of 5
Q9NPL8,TIDC1_HUMAN,reviewed,"Complex I assembly factor TIMMDC1, mitochondrial (Protein M5-14) (Translocase of inner mitochondrial membrane domain-containing protein 1) (TIMM domain containing-protein 1)",TIMMDC1 C3orf1 UNQ247/PRO284,Homo sapiens (Human),285,Chain (1); Modified residue (1); Natural variant (2); Sequence conflict (3); Transmembrane (4),5 out of 5
Q9BZW5,TM6S1_HUMAN,reviewed,Transmembrane 6 superfamily member 1,TM6SF1,Homo sapiens (Human),370,Alternative sequence (1); Chain (1); Domain (2); Natural variant (2); Sequence conflict (3); Transmembrane (9),3 out of 5
A0AVI4,TM129_HUMAN,reviewed,E3 ubiquitin-protein ligase TM129 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TM129),TMEM129,Homo sapiens (Human),362,Alternative sequence (2); Chain (1); Natural variant (1); Topological domain (4); Transmembrane (3); Zinc finger (1),5 out of 5
Q9NS68,TNR19_HUMAN,reviewed,Tumor necrosis factor receptor superfamily member 19 (TRADE) (Toxicity and JNK inducer),TNFRSF19 TAJ TROY UNQ1888/PRO4333,Homo sapiens (Human),423,Alternative sequence (2); Chain (1); Disulfide bond (8); Glycosylation (1); Natural variant (3); Repeat (3); Sequence conflict (4); Signal peptide (1); Topological domain (2); Transmembrane (1),5 out of 5
Q8IUR5,TMTC1_HUMAN,reviewed,Protein O-mannosyl-transferase TMTC1 (EC 2.4.1.109) (Transmembrane and TPR repeat-containing protein 1),TMTC1 ARG99,Homo sapiens (Human),882,Alternative sequence (8); Chain (1); Erroneous initiation (1); Glycosylation (1); Natural variant (1); Repeat (10); Transmembrane (9),5 out of 5
Q9Y275,TN13B_HUMAN,reviewed,"Tumor necrosis factor ligand superfamily member 13B (B lymphocyte stimulator) (BLyS) (B-cell-activating factor) (BAFF) (Dendritic cell-derived TNF-like molecule) (TNF- and APOL-related leukocyte expressed ligand 1) (TALL-1) (CD antigen CD257) [Cleaved into: Tumor necrosis factor ligand superfamily member 13b, membrane form; Tumor necrosis factor ligand superfamily member 13b, soluble form]",TNFSF13B BAFF BLYS TALL1 TNFSF20 ZTNF4 UNQ401/PRO738,Homo sapiens (Human),285,Alternative sequence (3); Beta strand (12); Chain (2); Disulfide bond (1); Glycosylation (2); Natural variant (1); Site (1); Topological domain (2); Transmembrane (1); Turn (2),5 out of 5
Q86YD3,TMM25_HUMAN,reviewed,Transmembrane protein 25,TMEM25 UNQ2531/PRO6030,Homo sapiens (Human),366,Alternative sequence (4); Chain (1); Disulfide bond (1); Domain (1); Glycosylation (5); Natural variant (2); Sequence conflict (1); Signal peptide (1); Topological domain (2); Transmembrane (1),5 out of 5
Q9NW97,TMM51_HUMAN,reviewed,Transmembrane protein 51,TMEM51 C1orf72,Homo sapiens (Human),253,Chain (1); Modified residue (3); Natural variant (2); Transmembrane (2),5 out of 5
Q9NYG2,ZDHC3_HUMAN,reviewed,Palmitoyltransferase ZDHHC3 (EC 2.3.1.225) (Acyltransferase ZDHHC3) (EC 2.3.1.-) (Protein DHHC1) (Zinc finger DHHC domain-containing protein 3) (DHHC-3),ZDHHC3 HSD49,Homo sapiens (Human),299,Active site (1); Alternative sequence (1); Chain (1); Domain (1); Lipidation (1); Modified residue (1); Mutagenesis (3); Topological domain (5); Transmembrane (4),5 out of 5
A6NJY4,YQ041_HUMAN,reviewed,Putative transmembrane protein LOC100289255,,Homo sapiens (Human),79,Chain (1); Transmembrane (2),1 out of 5
Q8N1Y9,YI025_HUMAN,reviewed,Putative uncharacterized protein FLJ37218,,Homo sapiens (Human),231,Chain (1); Sequence conflict (2); Signal peptide (1); Topological domain (2); Transmembrane (1),2 out of 5
Q9HBX9,RXFP1_HUMAN,reviewed,Relaxin receptor 1 (Leucine-rich repeat-containing G-protein coupled receptor 7) (Relaxin family peptide receptor 1),RXFP1 LGR7,Homo sapiens (Human),757,Alternative sequence (6); Beta strand (4); Chain (1); Disulfide bond (4); Domain (2); Glycosylation (6); Helix (1); Metal binding (6); Mutagenesis (1); Repeat (9); Sequence conflict (1); Topological domain (8); Transmembrane (7),5 out of 5
Q9H4F1,SIA7D_HUMAN,reviewed,"Alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3-N-acetyl-galactosaminide alpha-2,6-sialyltransferase (EC 2.4.99.7) (NeuAc-alpha-2,3-Gal-beta-1,3-GalNAc-alpha-2,6-sialyltransferase) (ST6GalNAc IV) (ST6GalNAcIV) (Sialyltransferase 3C) (SIAT3-C) (Sialyltransferase 7D) (SIAT7-D)",ST6GALNAC4 SIAT3C SIAT7D,Homo sapiens (Human),302,Chain (1); Disulfide bond (1); Glycosylation (1); Sequence conflict (3); Topological domain (2); Transmembrane (1),5 out of 5
Q9BVH7,SIA7E_HUMAN,reviewed,"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5 (EC 2.4.99.-) (GD1 alpha synthase) (GalNAc alpha-2,6-sialyltransferase V) (ST6GalNAc V) (ST6GalNAcV) (Sialyltransferase 7E) (SIAT7-E)",ST6GALNAC5 SIAT7E,Homo sapiens (Human),336,Chain (1); Compositional bias (1); Disulfide bond (1); Glycosylation (2); Topological domain (2); Transmembrane (1),5 out of 5
Q9UIG8,SO3A1_HUMAN,reviewed,Solute carrier organic anion transporter family member 3A1 (OATP3A1) (Organic anion transporter polypeptide-related protein 3) (OATP-RP3) (OATPRP3) (Organic anion-transporting polypeptide D) (OATP-D) (PGE1 transporter) (Sodium-independent organic anion transporter D) (Solute carrier family 21 member 11),SLCO3A1 OATP3A1 OATPD SLC21A11,Homo sapiens (Human),710,Alternative sequence (6); Chain (1); Disulfide bond (3); Domain (1); Glycosylation (7); Modified residue (1); Natural variant (1); Sequence conflict (4); Topological domain (13); Transmembrane (12),5 out of 5
Q5TAH2,SL9C2_HUMAN,reviewed,Sodium/hydrogen exchanger 11 (Na(+)/H(+) exchanger 11) (NHE-11) (Solute carrier family 9 member 11) (Solute carrier family 9 member C2),SLC9C2 SLC9A11,Homo sapiens (Human),1124,Chain (1); Glycosylation (2); Natural variant (3); Nucleotide binding (1); Region (1); Transmembrane (15),4 out of 5
A6NCI5,SIM16_HUMAN,reviewed,Putative transmembrane protein encoded by LINC00862 (Small integral membrane protein 16),LINC00862 C1orf98 SMIM16,Homo sapiens (Human),91,Chain (1); Transmembrane (1),2 out of 5
Q9NXL6,SIDT1_HUMAN,reviewed,SID1 transmembrane family member 1,SIDT1,Homo sapiens (Human),827,Alternative sequence (1); Chain (1); Glycosylation (8); Natural variant (3); Sequence conflict (1); Signal peptide (1); Topological domain (12); Transmembrane (11),4 out of 5
Q86SS6,SYT9_HUMAN,reviewed,Synaptotagmin-9 (Synaptotagmin IX) (SytIX),SYT9,Homo sapiens (Human),491,Chain (1); Domain (2); Metal binding (16); Modified residue (1); Natural variant (4); Region (1); Topological domain (2); Transmembrane (1),5 out of 5
P59542,T2R19_HUMAN,reviewed,Taste receptor type 2 member 19 (Taste receptor type 2 member 23) (Taste receptor type 2 member 48) (T2R48),TAS2R19 TAS2R23 TAS2R48,Homo sapiens (Human),299,Chain (1); Glycosylation (1); Natural variant (2); Topological domain (8); Transmembrane (7),5 out of 5
Q14C87,T132D_HUMAN,reviewed,Transmembrane protein 132D (Mature oligodendrocytes transmembrane protein) (Mature OL transmembrane protein),TMEM132D HBE120 KIAA1944 MOLT,Homo sapiens (Human),1099,Alternative sequence (2); Chain (1); Erroneous initiation (1); Glycosylation (1); Natural variant (3); Sequence conflict (2); Signal peptide (1); Topological domain (2); Transmembrane (1),4 out of 5
Q8N6K0,TEX29_HUMAN,reviewed,Testis-expressed protein 29,TEX29 C13orf16,Homo sapiens (Human),151,Chain (1); Topological domain (2); Transmembrane (1),5 out of 5
Q68D42,TM215_HUMAN,reviewed,Transmembrane protein 215,TMEM215,Homo sapiens (Human),235,Chain (1); Sequence conflict (1); Transmembrane (2),1 out of 5
Q2WGJ8,TM249_HUMAN,reviewed,Transmembrane protein 249,TMEM249 C8orfK29,Homo sapiens (Human),235,Chain (1); Glycosylation (2); Transmembrane (2),2 out of 5
A8MYB1,TMC5B_HUMAN,reviewed,Transmembrane and coiled-coil domain-containing protein 5B,TMCO5B,Homo sapiens (Human),307,Chain (1); Coiled coil (1); Transmembrane (1),2 out of 5
P07204,TRBM_HUMAN,reviewed,Thrombomodulin (TM) (Fetomodulin) (CD antigen CD141),THBD THRM,Homo sapiens (Human),575,Beta strand (14); Chain (1); Disulfide bond (19); Domain (7); Glycosylation (7); Helix (3); Modified residue (1); Natural variant (11); Region (1); Signal peptide (1); Topological domain (2); Transmembrane (1); Turn (2),5 out of 5
Q9HAV5,TNR27_HUMAN,reviewed,Tumor necrosis factor receptor superfamily member 27 (X-linked ectodysplasin-A2 receptor) (EDA-A2 receptor),EDA2R TNFRSF27 XEDAR UNQ2448/PRO5727/PRO34080,Homo sapiens (Human),297,Alternative sequence (2); Chain (1); Disulfide bond (8); Glycosylation (1); Mutagenesis (1); Natural variant (2); Repeat (3); Sequence conflict (1); Topological domain (2); Transmembrane (1),5 out of 5
Q96NL1,TMM74_HUMAN,reviewed,Transmembrane protein 74,TMEM74,Homo sapiens (Human),305,Chain (1); Transmembrane (2),4 out of 5
P63027,VAMP2_HUMAN,reviewed,Vesicle-associated membrane protein 2 (VAMP-2) (Synaptobrevin-2),VAMP2 SYB2,Homo sapiens (Human),116,Beta strand (1); Chain (1); Domain (1); Helix (1); Initiator methionine (1); Modified residue (1); Mutagenesis (9); Natural variant (5); Region (1); Sequence conflict (3); Site (3); Topological domain (2); Transmembrane (1); Turn (1),5 out of 5
O75063,XYLK_HUMAN,reviewed,Glycosaminoglycan xylosylkinase (EC 2.7.1.-) (Xylose kinase),FAM20B KIAA0475,Homo sapiens (Human),409,Active site (1); Binding site (4); Chain (1); Disulfide bond (4); Erroneous initiation (1); Glycosylation (1); Metal binding (2); Nucleotide binding (1); Topological domain (2); Transmembrane (1),5 out of 5
Q8IW00,VSTM4_HUMAN,reviewed,V-set and transmembrane domain-containing protein 4 [Cleaved into: Peptide Lv],VSTM4 C10orf72,Homo sapiens (Human),320,Alternative sequence (2); Chain (1); Disulfide bond (1); Domain (1); Glycosylation (4); Natural variant (3); Peptide (1); Sequence conflict (1); Signal peptide (1); Topological domain (2); Transmembrane (1),5 out of 5
Q8WVZ1,ZDH19_HUMAN,reviewed,Palmitoyltransferase ZDHHC19 (EC 2.3.1.225) (Zinc finger DHHC domain-containing protein 19) (DHHC-19),ZDHHC19,Homo sapiens (Human),309,Active site (1); Alternative sequence (3); Chain (1); Domain (1); Motif (1); Mutagenesis (1); Natural variant (1); Transmembrane (4),5 out of 5
Q6UX71,PXDC2_HUMAN,reviewed,Plexin domain-containing protein 2 (Tumor endothelial marker 7-related protein),PLXDC2 TEM7R UNQ2514/PRO6003,Homo sapiens (Human),529,Alternative sequence (2); Chain (1); Compositional bias (1); Domain (1); Glycosylation (2); Modified residue (1); Natural variant (2); Signal peptide (1); Topological domain (2); Transmembrane (1),5 out of 5
Q687X5,STEA4_HUMAN,reviewed,"Metalloreductase STEAP4 (EC 1.16.1.9) (Six-transmembrane epithelial antigen of prostate 4) (SixTransMembrane protein of prostate 2) (Tumor necrosis factor, alpha-induced protein 9)",STEAP4 STAMP2 TNFAIP9,Homo sapiens (Human),459,Alternative sequence (1); Beta strand (15); Binding site (10); Chain (1); Domain (1); Erroneous initiation (1); Frameshift (2); Glycosylation (1); Helix (23); Metal binding (2); Mutagenesis (1); Natural variant (2); Nucleotide binding (3); Transmembrane (6); Turn (6),5 out of 5
Q9H7V2,SYNG1_HUMAN,reviewed,Synapse differentiation-inducing gene protein 1 (SynDIG1) (Dispanin subfamily C member 2) (DSPC2) (Transmembrane protein 90B),SYNDIG1 C20orf39 TMEM90B,Homo sapiens (Human),258,Chain (1); Compositional bias (1); Intramembrane (1); Modified residue (1); Natural variant (1); Topological domain (3); Transmembrane (1),5 out of 5
Q9NYV9,T2R13_HUMAN,reviewed,Taste receptor type 2 member 13 (T2R13) (Taste receptor family B member 3) (TRB3),TAS2R13,Homo sapiens (Human),303,Chain (1); Glycosylation (2); Natural variant (2); Topological domain (8); Transmembrane (7),4 out of 5
Q8NBL3,T178A_HUMAN,reviewed,Transmembrane protein 178A,TMEM178A TMEM178 PSEC0131 UNQ5926/PRO19820,Homo sapiens (Human),297,Alternative sequence (2); Chain (1); Glycosylation (1); Natural variant (1); Signal peptide (1); Topological domain (4); Transmembrane (3),3 out of 5
Q1AE95,T183B_HUMAN,reviewed,Transmembrane protein 183B,TMEM183B C1orf37-dup,Homo sapiens (Human),376,Chain (1); Natural variant (1); Transmembrane (1),2 out of 5
Q9UP52,TFR2_HUMAN,reviewed,Transferrin receptor protein 2 (TfR2),TFR2,Homo sapiens (Human),801,Alternative sequence (2); Chain (1); Disulfide bond (2); Erroneous initiation (1); Glycosylation (4); Motif (1); Natural variant (7); Sequence conflict (1); Topological domain (2); Transmembrane (1),5 out of 5
Q9NS62,THSD1_HUMAN,reviewed,Thrombospondin type-1 domain-containing protein 1 (Transmembrane molecule with thrombospondin module),THSD1 TMTSP UNQ3010/PRO9769,Homo sapiens (Human),852,Alternative sequence (3); Chain (1); Disulfide bond (3); Domain (1); Glycosylation (7); Modified residue (1); Natural variant (12); Signal peptide (1); Topological domain (2); Transmembrane (1),5 out of 5
